City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mount gambier,-37.8333,140.7667,13.34,86,100,5.23,AU,1697156008
1,tura,25.5198,90.2201,20.72,81,0,1.37,IN,1697156124
2,ushuaia,-54.8,-68.3,7.81,71,75,15.95,AR,1697156125
3,berezovyy,51.6667,135.7,13.84,53,80,3.19,RU,1697156125
4,chibougamau,49.9168,-74.3659,6.79,93,75,2.06,CA,1697156125
5,puerto ayora,-0.7393,-90.3518,23.74,83,55,4.15,EC,1697156125
6,badger,64.8,-147.5333,1.1,75,100,2.06,US,1697156125
7,georgetown,5.4112,100.3354,27.19,83,20,0.0,MY,1697155941
8,adrar,20.5022,-10.0711,30.31,23,38,3.3,MR,1697156126
9,ebon,4.582,168.6964,28.7,72,68,2.08,MH,1697156126
10,gaspe,48.8334,-64.4819,10.95,100,100,1.03,CA,1697156126
11,general acha,-37.377,-64.6043,11.92,27,0,4.66,AR,1697156126
12,grytviken,-54.2811,-36.5092,-2.23,83,84,2.31,GS,1697156127
13,partur,19.6,76.2167,24.22,52,45,1.97,IN,1697156127
14,fort st. john,56.2499,-120.8529,13.94,58,20,3.6,CA,1697156039
15,puerto natales,-51.7236,-72.4875,4.08,97,71,3.37,CL,1697156127
16,adamstown,-25.066,-130.1015,21.21,67,99,5.45,PN,1697156127
17,saipan,15.1355,145.701,27.39,94,100,7.72,MP,1697156128
18,petropavlovsk-kamchatsky,53.0452,158.6483,3.03,73,75,6.71,RU,1697156128
19,feijo,-8.1642,-70.3536,23.43,98,95,2.8,BR,1697156128
20,hami,42.8,93.45,15.33,26,2,3.73,CN,1697156128
21,papatowai,-46.5619,169.4708,18.17,45,89,5.8,NZ,1697156000
22,blackmans bay,-43.0167,147.3167,12.63,62,88,2.24,AU,1697156129
23,bilibino,68.0546,166.4372,-6.69,85,100,1.58,RU,1697156104
24,hajjah,15.6943,43.6058,19.09,61,7,0.59,YE,1697156129
25,altai,46.3722,96.2583,3.83,41,0,2.37,MN,1697156130
26,la ronge,55.1001,-105.2842,9.14,81,100,1.54,CA,1697156130
27,waitangi,-43.9535,-176.5597,12.68,69,58,4.02,NZ,1697156130
28,bethel,41.3712,-73.414,15.17,77,0,1.54,US,1697156095
29,sulecin,52.4443,15.1168,12.16,88,97,1.1,PL,1697156130
30,dubbo,-32.25,148.6167,17.07,39,0,5.66,AU,1697156131
31,east london,-33.0153,27.9116,16.17,74,8,4.42,ZA,1697155886
32,college,64.8569,-147.8028,1.15,73,100,2.06,US,1697156131
33,kailua-kona,19.6406,-155.9956,28.61,65,75,3.6,US,1697156131
34,ilulissat,69.2167,-51.1,-2.99,50,100,2.57,GL,1697156132
35,port-aux-francais,-49.35,70.2167,2.4,83,81,6.73,TF,1697156132
36,mantua,45.1667,10.7833,20.58,86,63,0.49,IT,1697156129
37,guaratuba,-25.8828,-48.5747,16.97,94,100,3.85,BR,1697156093
38,albany,42.6001,-73.9662,13.03,76,39,2.46,US,1697156010
39,la'ie,21.6477,-157.9253,30.98,64,0,4.48,US,1697156133
40,avarua,-21.2078,-159.775,27.03,74,75,4.63,CK,1697156133
41,codrington,-38.2667,141.9667,13.9,84,100,7.92,AU,1697156133
42,tongchuan,35.0806,109.0897,13.79,74,94,1.67,CN,1697156134
43,longyearbyen,78.2186,15.6401,-3.09,74,40,2.57,SJ,1697156060
44,kingston,17.997,-76.7936,30.53,80,20,5.14,JM,1697156134
45,usinsk,65.9939,57.5281,-1.07,98,100,2.24,RU,1697156134
46,atafu village,-8.5421,-172.5159,28.13,79,44,6.03,TK,1697156134
47,narasannapeta,18.4167,84.05,24.45,83,12,1.63,IN,1697156135
48,yellowknife,62.456,-114.3525,8.01,100,100,1.03,CA,1697156135
49,nema,57.5067,50.5011,7.49,93,100,6.63,RU,1697156135
50,puerto deseado,-47.7503,-65.8938,8.72,55,32,5.2,AR,1697156135
51,bredasdorp,-34.5322,20.0403,12.18,82,66,3.04,ZA,1697156135
52,pisco,-13.7,-76.2167,19.03,77,0,7.2,PE,1697156074
53,iqaluit,63.7506,-68.5145,-1.15,92,75,0.0,CA,1697156136
54,gebre guracha,9.8,38.4,10.93,74,54,1.98,ET,1697156136
55,kenai,60.5544,-151.2583,2.86,95,100,4.12,US,1697156136
56,coahuayana de hidalgo,18.7,-103.6583,26.53,88,42,0.75,MX,1697156137
57,qaqortoq,60.7167,-46.0333,2.73,79,99,2.89,GL,1697156137
58,hamilton,39.1834,-84.5333,21.43,69,0,2.06,US,1697155651
59,wailua homesteads,22.0669,-159.378,29.24,64,20,6.69,US,1697156137
60,balancan,17.8,-91.5333,28.91,83,23,2.5,MX,1697156137
61,lavras da mangabeira,-6.7533,-38.9644,29.18,33,72,1.47,BR,1697156138
62,jamestown,42.097,-79.2353,9.8,84,0,2.57,US,1697155921
63,mount pearl,47.5166,-52.7813,12.4,98,100,2.06,CA,1697156138
64,tazovsky,67.4667,78.7,0.72,99,100,2.23,RU,1697156138
65,gulf shores,30.246,-87.7008,21.11,75,100,2.57,US,1697156139
66,pacaembu,-21.5622,-51.2606,25.43,71,90,0.87,BR,1697156139
67,brookings,44.3114,-96.7984,7.25,97,100,9.77,US,1697156139
68,ciudad lazaro cardenas,17.9583,-102.2,27.07,84,44,0.9,MX,1697156116
69,harper,4.375,-7.7169,25.19,88,100,2.94,LR,1697156139
70,edinburgh of the seven seas,-37.0676,-12.3116,12.99,81,40,5.67,SH,1697156139
71,port alfred,-33.5906,26.891,16.14,71,19,9.01,ZA,1697156140
72,birao,10.2849,22.7882,24.48,70,25,0.86,CF,1697156140
73,kavieng,-2.5744,150.7967,28.83,70,78,1.24,PG,1697156140
74,thompson,55.7435,-97.8558,8.09,87,40,0.0,CA,1697156141
75,lebu,-37.6167,-73.65,9.8,83,0,9.4,CL,1697156141
76,veinticinco de mayo,-35.4323,-60.1727,11.66,48,1,2.56,AR,1697156141
77,flying fish cove,-10.4217,105.6791,25.82,83,100,5.14,CX,1697156141
78,port blair,11.6667,92.75,25.02,100,40,0.0,IN,1697156141
79,fada,9.5667,8.3,20.74,83,99,1.06,NG,1697156142
80,kayangel,8.0823,134.7173,27.99,80,98,7.85,PW,1697156142
81,saint-pierre,-21.3393,55.4781,22.82,78,20,4.12,RE,1697156142
82,port hedland,-20.3167,118.5667,34.03,10,20,11.32,AU,1697156143
83,vorgashor,67.5833,63.95,-0.49,73,99,6.61,RU,1697156143
84,tabou,4.423,-7.3528,25.01,91,100,2.64,CI,1697156143
85,howrah,22.5892,88.3103,27.0,89,20,0.0,IN,1697156143
86,new plymouth,-39.0667,174.0833,16.0,75,12,4.78,NZ,1697156144
87,margaret river,-33.95,115.0667,14.6,63,3,3.23,AU,1697156144
88,utrik,11.2278,169.8474,28.17,76,69,4.63,MH,1697156144
89,invercargill,-46.4,168.35,20.57,49,82,6.26,NZ,1697156145
90,lagoa,39.05,-27.9833,19.87,77,50,4.47,PT,1697156145
91,magadan,59.5667,150.8,-4.15,74,10,4.02,RU,1697155941
92,valle del guamuez,0.4525,-76.9192,25.55,71,29,0.85,CO,1697156145
93,port mathurin,-19.6833,63.4167,23.25,76,6,4.32,MU,1697156145
94,ribeira grande,38.5167,-28.7,18.76,86,74,3.13,PT,1697156146
95,prince george,53.9166,-122.753,17.57,53,4,1.13,CA,1697155882
96,merizo village,13.2658,144.6691,25.32,83,96,8.99,GU,1697156146
97,whitehorse,60.7161,-135.0538,7.23,81,100,5.81,CA,1697156019
98,mizdah,31.4451,12.9801,19.96,52,0,2.84,LY,1697156146
99,la passe,45.5549,-0.8967,18.13,50,66,3.25,FR,1697156147
100,khandyga,62.6667,135.6,-1.03,97,100,0.48,RU,1697156147
101,champoton,19.35,-90.7167,29.52,82,16,4.72,MX,1697156147
102,san patricio,28.017,-97.5169,27.97,77,55,5.29,US,1697156147
103,hasaki,35.7333,140.8333,20.16,51,2,6.33,JP,1697156147
104,binzhou,37.3667,118.0167,18.16,46,100,2.06,CN,1697156148
105,kruisfontein,-34.0033,24.7314,13.77,81,0,10.29,ZA,1697156148
106,nenjiang,49.1833,125.2167,12.04,47,0,4.55,CN,1697156148
107,alofi,-19.0595,-169.9187,28.94,61,75,5.14,NU,1697156148
108,touros,-5.1989,-35.4608,25.84,82,2,7.06,BR,1697155923
109,cabo san lucas,22.8909,-109.9124,30.1,66,0,8.23,MX,1697155611
110,virac,13.6333,124.2167,24.47,80,37,1.31,PH,1697156149
111,smithers,54.7804,-127.1743,14.18,62,40,2.06,CA,1697156150
112,nemuro,43.3236,145.575,14.2,66,0,4.6,JP,1697156150
113,calama,-22.4667,-68.9333,20.27,15,0,6.17,CL,1697156150
114,afaahiti,-17.75,-149.2833,28.93,79,38,5.88,PF,1697156150
115,hadibu,12.65,54.0333,26.89,81,51,1.51,YE,1697156150
116,stanley,54.868,-1.6985,7.1,87,20,1.54,GB,1697156151
117,cumbal,0.9088,-77.7915,9.21,91,100,2.06,CO,1697156151
118,sitka,57.0531,-135.33,13.94,67,100,10.29,US,1697156152
119,karratha,-20.7377,116.8463,31.52,17,2,9.46,AU,1697156152
120,yatou,37.15,122.3833,17.48,53,100,0.8,CN,1697156152
121,nabire,-3.3667,135.4833,29.47,69,84,0.48,ID,1697156152
122,sisimiut,66.9395,-53.6735,0.37,64,100,3.83,GL,1697156153
123,san antonio de pale,-1.4014,5.6325,25.28,85,67,5.38,GQ,1697156153
124,fortuna,40.5982,-124.1573,18.85,72,0,4.12,US,1697156153
